split,group,n_samples,mae,rmse,r2
unseen_year,overall,720,2.6100042006594246,3.3197319084764225,0.8657898639765118
unseen_year,Moderate Stress,492,2.576927158721728,3.2737565153484423,0.8080120223709232
unseen_year,Severe Stress,228,2.6813809753670843,3.4168348392547006,0.5749852068933516
unseen_location,West Field 3,240,2.564528564490227,3.271198025042084,0.9012541669716662
unseen_location,West Field 3 | Moderate Stress,178,2.6012131298265437,3.372497182432906,0.7447936845437597
unseen_location,West Field 3 | Severe Stress,62,2.459208360782738,2.9611776615089904,0.8247389873797697
